seed,run_root,ai_selected_model,manual_selected_model,ai_selected_test_accuracy,ai_selected_test_macro_f1,ai_selected_test_weighted_f1,manual_selected_test_accuracy,manual_selected_test_macro_f1,manual_selected_test_weighted_f1,manual_minus_ai_accuracy,manual_minus_ai_macro_f1,manual_minus_ai_weighted_f1
41,outputs/stability_5x/20260529_151843/seed_41/20260529_151845,tfidf_linear_svc_c1.0,tfidf_logreg_c0.25,0.5076923076923077,0.5087784555869662,0.499101553111373,0.7230769230769231,0.4438300051203277,0.7160864941510103,0.2153846153846154,-0.0649484504666385,0.21698494103963734
42,outputs/stability_5x/20260529_151843/seed_42/20260529_151859,tfidf_linear_svc_c4.0,tfidf_logreg_c0.25,0.4923076923076923,0.4938386421762381,0.4852395686155277,0.7692307692307693,0.4938202247191012,0.7572515125324114,0.276923076923077,-1.8417457136876703e-05,0.2720119439168837
43,outputs/stability_5x/20260529_151843/seed_43/20260529_151910,tfidf_logreg_c1.0,tfidf_logreg_c0.25,0.3846153846153846,0.3915056360708535,0.3605072463768116,0.8,0.5304149566803465,0.7814290224139744,0.41538461538461546,0.13890932060949307,0.4209217760371628
44,outputs/stability_5x/20260529_151843/seed_44/20260529_151921,tfidf_logreg_c1.0,tfidf_logreg_c0.25,0.4461538461538462,0.431547619047619,0.425,0.7846153846153846,0.4792626728110599,0.7546260191421481,0.3384615384615384,0.04771505376344087,0.3296260191421481
45,outputs/stability_5x/20260529_151843/seed_45/20260529_151933,tfidf_linear_svc_c4.0,tfidf_logreg_c0.25,0.4153846153846154,0.4079123229083132,0.4083646906421566,0.7538461538461538,0.482091982091982,0.7533765379919225,0.3384615384615384,0.07417965918366881,0.3450118473497659
