run_id,run_dir,input_source,n_total,n_train,n_val,n_test,split,model,accuracy,macro_f1,weighted_f1
20260529_145706,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/ai/run_20260529_145706,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/ai,427,298,64,65,validation,selected_non_heuristic,0.625,0.6049683157734006,0.6075999198350893
20260529_145706,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/ai/run_20260529_145706,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/ai,427,298,64,65,validation,tfidf_linear_svc_c0.25,0.59375,0.5706563706563706,0.5704029922779923
20260529_145706,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/ai/run_20260529_145706,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/ai,427,298,64,65,validation,tfidf_linear_svc_c1.0,0.5625,0.5389937106918239,0.5389150943396226
20260529_145706,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/ai/run_20260529_145706,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/ai,427,298,64,65,validation,tfidf_linear_svc_c4.0,0.5625,0.5405972687177852,0.5416305495775546
20260529_145706,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/ai/run_20260529_145706,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/ai,427,298,64,65,validation,tfidf_logreg_c0.25,0.59375,0.5390372951348561,0.5629839334107627
20260529_145706,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/ai/run_20260529_145706,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/ai,427,298,64,65,validation,tfidf_logreg_c1.0,0.625,0.6049683157734006,0.6075999198350893
20260529_145706,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/ai/run_20260529_145706,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/ai,427,298,64,65,validation,tfidf_logreg_c4.0,0.578125,0.5529657477025899,0.5557644110275689
20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/manual/run_20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/manual,427,298,64,65,test,heuristic,0.4461538461538462,0.36349206349206353,0.4965567765567766
20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/manual/run_20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/manual,427,298,64,65,test,tfidf_logreg_c1.0,0.7692307692307693,0.48909370199692775,0.7482453030840127
20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/manual/run_20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/manual,427,298,64,65,validation,heuristic,0.46875,0.39325018341892887,0.5348495964783566
20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/manual/run_20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/manual,427,298,64,65,validation,selected_non_heuristic,0.71875,0.625,0.6835937500000001
20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/manual/run_20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/manual,427,298,64,65,validation,tfidf_linear_svc_c0.25,0.6875,0.5428571428571428,0.6232142857142856
20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/manual/run_20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/manual,427,298,64,65,validation,tfidf_linear_svc_c1.0,0.671875,0.5318704284221525,0.611873040752351
20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/manual/run_20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/manual,427,298,64,65,validation,tfidf_linear_svc_c4.0,0.6875,0.564625850340136,0.636904761904762
20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/manual/run_20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/manual,427,298,64,65,validation,tfidf_logreg_c0.25,0.75,0.4658385093167701,0.7385481366459627
20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/manual/run_20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/manual,427,298,64,65,validation,tfidf_logreg_c1.0,0.71875,0.625,0.6835937500000001
20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/runs/manual/run_20260529_145711,outputs/stability_5x/20260529_145642/seed_41/20260529_145643/splits/manual,427,298,64,65,validation,tfidf_logreg_c4.0,0.6875,0.564625850340136,0.636904761904762
20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/ai/run_20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/ai,427,298,64,65,test,heuristic,1.0,1.0,1.0
20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/ai/run_20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/ai,427,298,64,65,test,tfidf_linear_svc_c4.0,0.4153846153846154,0.4147474747474747,0.41183216783216786
20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/ai/run_20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/ai,427,298,64,65,validation,heuristic,1.0,1.0,1.0
20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/ai/run_20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/ai,427,298,64,65,validation,selected_non_heuristic,0.453125,0.4608752102991735,0.44836198088106216
20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/ai/run_20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/ai,427,298,64,65,validation,tfidf_linear_svc_c0.25,0.40625,0.41085098476402826,0.38905727424749165
20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/ai/run_20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/ai,427,298,64,65,validation,tfidf_linear_svc_c1.0,0.4375,0.4467028746982664,0.4300398082620145
20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/ai/run_20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/ai,427,298,64,65,validation,tfidf_linear_svc_c4.0,0.453125,0.4608752102991735,0.44836198088106216
20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/ai/run_20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/ai,427,298,64,65,validation,tfidf_logreg_c0.25,0.390625,0.3962536415366604,0.3515605856407743
20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/ai/run_20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/ai,427,298,64,65,validation,tfidf_logreg_c1.0,0.390625,0.3953878406708595,0.36880896226415094
20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/ai/run_20260529_145717,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/ai,427,298,64,65,validation,tfidf_logreg_c4.0,0.4375,0.44278228532792424,0.42863368407707914
20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/manual/run_20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/manual,427,298,64,65,test,heuristic,0.4307692307692308,0.35324074074074074,0.5057051282051283
20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/manual/run_20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/manual,427,298,64,65,test,tfidf_linear_svc_c1.0,0.7538461538461538,0.6926713947990544,0.728532460447354
20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/manual/run_20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/manual,427,298,64,65,validation,heuristic,0.53125,0.4201307189542483,0.6233455882352941
20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/manual/run_20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/manual,427,298,64,65,validation,selected_non_heuristic,0.796875,0.734609250398724,0.7868321371610846
20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/manual/run_20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/manual,427,298,64,65,validation,tfidf_linear_svc_c0.25,0.78125,0.6952380952380952,0.7610119047619048
20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/manual/run_20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/manual,427,298,64,65,validation,tfidf_linear_svc_c1.0,0.796875,0.734609250398724,0.7868321371610846
20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/manual/run_20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/manual,427,298,64,65,validation,tfidf_linear_svc_c4.0,0.796875,0.734609250398724,0.7868321371610846
20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/manual/run_20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/manual,427,298,64,65,validation,tfidf_logreg_c0.25,0.734375,0.481844145246838,0.7598110465116278
20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/manual/run_20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/manual,427,298,64,65,validation,tfidf_logreg_c1.0,0.75,0.4688644688644688,0.7568681318681318
20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/runs/manual/run_20260529_145722,outputs/stability_5x/20260529_145642/seed_42/20260529_145716/splits/manual,427,298,64,65,validation,tfidf_logreg_c4.0,0.765625,0.7050691244239631,0.759360599078341
