dataset,run_id,run_dir,n_train,n_val,n_test,selected_non_heuristic_model,heuristic_test_accuracy,heuristic_test_macro_f1,heuristic_test_weighted_f1,selected_val_macro_f1,selected_test_accuracy,selected_test_macro_f1,selected_test_weighted_f1,selected_minus_heuristic_accuracy,selected_minus_heuristic_macro_f1,selected_minus_heuristic_weighted_f1
ai,20260529_152141,outputs/dual_dataset_compare/20260529_152137/runs/ai/run_20260529_152141,298,64,65,tfidf_linear_svc_c4.0,1.0,1.0,1.0,0.48717948717948717,0.49230769230769234,0.49383864217623813,0.4852395686155277,-0.5076923076923077,-0.5061613578237618,-0.5147604313844723
manual,20260529_152146,outputs/dual_dataset_compare/20260529_152137/runs/manual/run_20260529_152146,298,64,65,tfidf_logreg_c0.25,0.5076923076923077,0.44379156847342244,0.5992850323282375,0.42489353464963225,0.7692307692307693,0.4938202247191012,0.7572515125324114,0.2615384615384616,0.05002865624567876,0.15796648020417392
